,index,category,brand_name,name,price,sku_number,id,rating,url
22,22,Face Brushes,IT Cosmetics,Heavenly Skin™ Bye Bye Pores™ Powder Brush #701,$58.00,1868934,P411394,4.7778,http://www.sephora.com/heavenly-skin-bye-bye-pores-powder-brush-701-P411394
23,23,Face Brushes,SEPHORA COLLECTION,Face Time Complexion Brush Set,$48.00,1881499,P415304,5.0,http://www.sephora.com/face-time-complexion-brush-set-P415304
24,24,Face Brushes,SEPHORA COLLECTION,PRO Angled Blush Brush #49,$32.00,1419449,P313016,4.6109,http://www.sephora.com/pro-angled-blush-brush-49-P313016
25,25,Face Brushes,bareMinerals,Full Flawless Face Brush,$28.00,1072933,P209815,3.7106,http://www.sephora.com/full-flawless-face-brush-P209815
26,26,Face Brushes,tarte,Rainforest of the Sea™ Double-Ended Foundation Brush,$34.00,1779131,P405101,4.2642,http://www.sephora.com/rainforest-the-sea-double-ended-foundation-brush-P405101
27,27,Face Brushes,SEPHORA COLLECTION,Classic Must Have Large Powder Brush #30,$18.00,1504414,P379535,3.4906,http://www.sephora.com/classic-must-have-large-powder-brush-30-P379535
28,28,Face Brushes,SEPHORA COLLECTION,Flatter Yourself Contour Brush Set,$48.00,1564566,P384889,4.268,http://www.sephora.com/flatter-yourself-contouring-brush-set-P384889
29,29,Face Brushes,SEPHORA COLLECTION,PRO Flawless Airbrush #56,$32.00,1419407,P313012,4.7554,http://www.sephora.com/pro-flawless-airbrush-56-P313012
30,30,Face Brushes,Too Faced,Mr. Right - The Perfect Powder Brush,$36.00,1777705,P403804,4.761,http://www.sephora.com/mr-right-perfect-powder-brush-P403804
31,31,Face Brushes,Kat Von D,Lock-It Edge Concealer Brush,$24.00,1822246,P409975,4.6057,http://www.sephora.com/lock-it-edge-concealer-brush-P409975
32,32,Face Brushes,Hourglass,Ambient® Powder Brush,$38.00,1489376,P377724,4.4375,http://www.sephora.com/ambient-powder-brush-P377724
33,33,Face Brushes,MAKE UP FOR EVER,130 Large Powder Brush,$55.00,1536184,P382378,4.8621,http://www.sephora.com/130-large-powder-brush-P382378
34,34,Face Brushes,SEPHORA COLLECTION,Classic Must Have Angled Blush Brush #50,$15.00,1504364,P379530,3.5463,http://www.sephora.com/classic-must-have-angled-blush-brush-50-P379530
35,35,Face Brushes,tarte,Airbuki Bamboo Powder Foundation Brush,$28.00,1534346,P380827,4.4854,http://www.sephora.com/airbuki-bamboo-powder-foundation-brush-P380827
36,36,Face Brushes,NARS,Yachiyo Brush #27,$55.00,1613959,P386333,3.7975,http://www.sephora.com/yachiyo-brush-27-P386333
37,37,Face Brushes,SEPHORA COLLECTION,Classic Must Have Foundation Brush #10,$12.00,1504323,P379526,3.1948,http://www.sephora.com/classic-must-have-foundation-brush-10-P379526
38,38,Face Brushes,MAKE UP FOR EVER,108 Large Foundation Brush,$36.00,1536119,P382427,4.5859,http://www.sephora.com/108-large-foundation-brush-P382427
39,39,Face Brushes,Marc Jacobs Beauty,The Bronze - Bronzer Brush No. 12,$78.00,1505098,P379416,4.7421,http://www.sephora.com/the-bronze-bronzer-brush-no-12-P379416
40,40,Face Brushes,SEPHORA COLLECTION,Pro Core Diffuser #94,$36.00,1867530,P415310,4.8333,http://www.sephora.com/pro-core-diffuser-94-P415310
41,41,Face Brushes,Marc Jacobs Beauty,The Face III Buffing Foundation Brush,$48.00,1711308,P398947,4.6441,http://www.sephora.com/the-face-iii-buffing-foundation-brush-P398947
42,42,Face Brushes,Shiseido,Foundation Brush,$30.00,1364009,P294101,4.3763,http://www.sephora.com/foundation-brush-P294101
43,43,Face Brushes,SEPHORA COLLECTION,Hide and Sleek Skinny Cheek Contour Brush,$8.00,1649664,P393111,3.7797,http://www.sephora.com/hide-sleek-skinny-cheek-contour-brush-P393111
44,44,Face Brushes,SEPHORA COLLECTION,PRO Flawless Bronzer Brush #46,$34.00,1479260,P377528,4.7419,http://www.sephora.com/pro-flawless-bronzer-brush-46-P377528
45,45,Face Brushes,BECCA,Soft Kabuki Brush,$30.00,1901909,P416566,4.6808,http://www.sephora.com/soft-kabuki-brush-P416566
46,46,Face Brushes,MAKE UP FOR EVER,124 Powder Kabuki Brush,$52.00,1536150,P382383,4.8065,http://www.sephora.com/124-powder-kabuki-brush-P382383
47,47,Face Brushes,Bobbi Brown,Blush Brush,$56.00,1291269,P270574,4.5647,http://www.sephora.com/blush-brush-P270574
48,48,Face Brushes,SEPHORA COLLECTION,PRO Foundation #47,$30.00,1767151,P404041,4.6979,http://www.sephora.com/pro-foundation-47-P404041
49,49,Face Brushes,SEPHORA COLLECTION,PRO Core Diffuser Angled #95,$32.00,1867548,P415308,4.3333,http://www.sephora.com/pro-core-diffuser-angled-95-P415308
50,50,Face Brushes,bareMinerals,Full Coverage Kabuki Brush,$28.00,747998,P61040,4.0579,http://www.sephora.com/full-coverage-kabuki-brush-P61040
51,51,Face Brushes,SEPHORA COLLECTION,PRO Airbrush #55,$34.00,1419373,P313009,4.5843,http://www.sephora.com/pro-airbrush-55-P313009
52,52,Face Brushes,KEVYN AUCOIN,The Foundation Brush,$82.00,1697192,P393961,4.725,http://www.sephora.com/the-foundation-brush-P393961
53,53,Face Brushes,NARS,Kabuki Ita Brush,$55.00,1666544,P391318,3.8305,http://www.sephora.com/kabuki-ita-brush-P391318
54,54,Face Brushes,Marc Jacobs Beauty,The Shape Contour and Blush Brush No. 15,$38.00,1651298,P392348,4.75,http://www.sephora.com/the-shape-contour-blush-brush-P392348
55,55,Face Brushes,SEPHORA COLLECTION,PRO Flawless Light Powder Brush #50,$38.00,1419357,P313007,4.6885,http://www.sephora.com/pro-flawless-light-powder-brush-50-P313007
56,56,Face Brushes,SEPHORA COLLECTION,PRO Featherweight Fan Brush #92,$36.00,1775113,P405523,4.5439,http://www.sephora.com/pro-featherweight-fan-brush-92-P405523
57,57,Face Brushes,bareMinerals,BAREPRO Core Coverage Brush,$30.00,1850940,P410668,3.7273,http://www.sephora.com/barepro-core-coverage-brush-P410668
58,58,Face Brushes,tarte,Rainforest of the Sea™ The Airbrusher™ Double-Ended Concealer Brush,$24.00,1779065,P405597,4.6923,http://www.sephora.com/rainforest-the-sea-airbrusher-double-ended-concealer-brush-P405597
59,59,Face Brushes,Benefit Cosmetics,Hoola Bronzing & Contouring Brush,$24.00,1802339,P405555,4.6119,http://www.sephora.com/hoola-bronzing-contouring-brush-P405555
60,60,Face Brushes,SEPHORA COLLECTION,Classic Multitasker Brush #45,$24.00,1504356,P379529,4.7504,http://www.sephora.com/classic-mineral-brush-45-P379529
61,61,Face Brushes,SEPHORA COLLECTION,hakuho-do + SEPHORA PRO Fan Cheek Brush (Ougi),$25.00,1699826,P398552,4.2857,http://www.sephora.com/hakuho-do-sephora-pro-fan-cheek-brush-ougi-P398552
62,62,Face Brushes,bareMinerals,Supreme Finisher Brush,$28.00,1710763,P396526,4.8824,http://www.sephora.com/supreme-finisher-brush-P396526
63,63,Face Brushes,Urban Decay,Optical Blurring Brush,$32.00,1847706,P410551,4.1923,http://www.sephora.com/optical-blurring-brush-P410551
64,64,Face Brushes,SEPHORA COLLECTION,PRO Contour Brush #79,$34.00,1673839,P395103,4.6558,http://www.sephora.com/pro-contour-brush-79-P395103
65,65,Face Brushes,KEVYN AUCOIN,The Neo Powder Brush,$60.00,1896984,P416355,0.0,http://www.sephora.com/the-neo-powder-brush-P416355
66,66,Face Brushes,SEPHORA COLLECTION,PRO Fan Brush #65,$28.00,1419514,P313023,3.1497,http://www.sephora.com/pro-fan-brush-65-P313023
67,67,Face Brushes,bareMinerals,Perfecting Foundation Brush,$28.00,1600360,P385437,3.7214,http://www.sephora.com/perfecting-foundation-brush-P385437
68,68,Face Brushes,Dior,Airbrush Finish Fluid Foundation Brush,$53.00,1881200,P413264,3.0,http://www.sephora.com/airflash-brush-P413264
69,69,Face Brushes,SEPHORA COLLECTION,Classic Double Ended - Powder & Blush #201,$30.00,1867597,P414226,4.5,http://www.sephora.com/face-powder-blush-brush-n-201-P414226
70,70,Face Brushes,MAKE UP FOR EVER,158 Double Ended Sculpting Brush,$53.00,1536309,P382379,4.625,http://www.sephora.com/158-double-ended-sculpting-brush-P382379
71,71,Face Brushes,Hourglass,Ambient® Lighting Edit Brush,$46.00,1848894,P413341,4.5,http://www.sephora.com/ambient-lighting-edit-brush-P413341
72,72,Face Brushes,Kat Von D,Lock-It Precision Powder Brush,$32.00,1829597,P409987,4.8929,http://www.sephora.com/lock-it-precision-powder-brush-P409987
73,73,Face Brushes,Guerlain,The Foundation Brush,$52.00,1861475,P411042,4.7778,http://www.sephora.com/lingerie-de-peau-foundation-brush-P411042
74,74,Face Brushes,SEPHORA COLLECTION,Classic Double Ended - Foundation & Concealer #203,$26.00,1867605,P414675,5.0,http://www.sephora.com/foundation-concealer-brush-203-P414675
75,75,Face Brushes,Laura Mercier,Fan Powder Brush,$30.00,1307461,P277509,4.2353,http://www.sephora.com/fan-powder-brush-P277509
76,76,Face Brushes,Bobbi Brown,Full Coverage Face Brush,$48.00,1639681,P390431,4.7018,http://www.sephora.com/full-coverage-face-brush-P390431
77,77,Face Brushes,SEPHORA COLLECTION,PRO Precision Powder Brush #59,$38.00,1419340,P313006,3.9946,http://www.sephora.com/pro-precision-powder-brush-59-P313006
78,78,Face Brushes,COVER FX,Liquid Foundation Brush,$38.00,1452630,P376529,4.6571,http://www.sephora.com/liquid-foundation-brush-P376529
79,79,Face Brushes,bareMinerals,Flawless Application Face Brush,$22.00,748012,P61038,3.6154,http://www.sephora.com/flawless-application-face-brush-P61038
80,80,Face Brushes,Laura Mercier,Secret Camouflage Brush,$26.00,870832,P109959,4.2969,http://www.sephora.com/secret-camouflage-brush-P109959
81,81,Face Brushes,SEPHORA COLLECTION,Hide and Sleek Skinny Foundation Retractable Brush,$7.00,1649656,P393113,3.1304,http://www.sephora.com/hide-sleek-skinny-foundation-retractable-brush-P393113
82,82,Face Brushes,SEPHORA COLLECTION,PRO Small Stippling Brush #42,$15.00,1562768,P384583,3.4706,http://www.sephora.com/pro-small-stippling-brush-42-P384583
83,83,Face Brushes,SEPHORA COLLECTION,hakuho-do + SEPHORA PRO Large Teardrop Pointed Powder Brush (Otsubu),$32.00,1699800,P398556,4.1538,http://www.sephora.com/hakuho-do-sephora-pro-large-teardrop-pointed-powder-brush-otsubu-P398556
84,84,Face Brushes,Marc Jacobs Beauty,The Face II - Sculpting Foundation Brush No. 2,$48.00,1505072,P379418,4.7511,http://www.sephora.com/the-face-ii-sculpting-foundation-brush-no-2-P379418
85,85,Face Brushes,rms beauty,Skin2Skin Foundation Brush,$38.00,1833581,P408969,3.5,http://www.sephora.com/skin2skin-foundation-brush-P408969
86,86,Face Brushes,SEPHORA COLLECTION,hakuho-do + SEPHORA PRO Wedge Sloping Powder Brush (Kusabi),$35.00,1699792,P398558,4.0588,http://www.sephora.com/hakuho-do-sephora-pro-wedge-sloping-powder-brush-kusabi-P398558
87,87,Face Brushes,KEVYN AUCOIN,The Concealer Brush,$32.00,1697150,P393963,5.0,http://www.sephora.com/the-concealar-brush-P393963
88,88,Face Brushes,Marc Jacobs Beauty,The Conceal - Full Cover Correcting Brush No. 14,$30.00,1581776,P384921,4.8396,http://www.sephora.com/the-conceal-full-cover-correcting-brush-14-P384921
89,89,Face Brushes,SEPHORA COLLECTION,Classic Contour Powder Brush #52,$15.00,1504521,P379546,2.7586,http://www.sephora.com/classic-contour-powder-brush-52-P379546
90,90,Face Brushes,bareMinerals,Precision Face Brush,$28.00,1457316,P375373,4.6568,http://www.sephora.com/precision-face-brush-P375373
91,91,Face Brushes,Urban Decay,The Finger Brush,$26.00,1847714,P410552,4.1905,http://www.sephora.com/the-finger-brush-P410552
92,92,Face Brushes,tarte,Powder Player Bamboo Pressed Powder Brush,$34.00,1669449,P392850,4.4186,http://www.sephora.com/powder-player-bamboo-pressed-powder-brush-P392850
93,93,Face Brushes,SEPHORA COLLECTION,PRO Contour Blender #77,$34.00,1648237,P393101,4.4655,http://www.sephora.com/pro-contour-blender-77-P393101
94,94,Face Brushes,tarte,The Slenderizer Bamboo Contour Brush,$34.00,1605062,P385763,4.0993,http://www.sephora.com/the-slenderizer-bamboo-contouring-brush-P385763
95,95,Face Brushes,MAKE UP FOR EVER,120 Medium Powder Fan Brush,$31.00,1536135,P382428,4.7778,http://www.sephora.com/120-medium-powder-fan-brush-P382428
96,96,Face Brushes,Bésame Cosmetics,Boudoir Short Hair Contour Brush,$48.00,1702737,P396821,4.75,http://www.sephora.com/boudoir-short-hair-contour-brush-P396821
97,97,Face Brushes,COVER FX,Powder Brush,$42.00,1452655,P376617,4.8788,http://www.sephora.com/powder-brush-P376617
98,98,Face Brushes,NARS,Blush Brush #20,$42.00,1666619,P391325,4.8182,http://www.sephora.com/blush-brush-20-P391325
99,99,Face Brushes,SEPHORA COLLECTION,PRO Angled Contour Brush #75,$32.00,1419423,P313014,4.4944,http://www.sephora.com/pro-angled-contour-brush-75-P313014
100,100,Face Brushes,tarte,Double-Ended Camouflage Tool,$36.00,1605054,P385754,3.8824,http://www.sephora.com/double-ended-camouflage-tool-P385754
101,101,Face Brushes,Dior,Professional Finish Fluid Foundation Brush - Full Coverage,$46.00,1513902,P379922,4.5517,http://www.sephora.com/professional-finish-fluid-foundation-brush-full-coverage-P379922
102,102,Face Brushes,SEPHORA COLLECTION,PRO Contour Highlight Brush #80,$34.00,1675792,P395101,4.069,http://www.sephora.com/pro-contour-highlight-brush-80-P395101
103,103,Face Brushes,bareMinerals,Smoothing Foundation Brush,$28.00,1688530,P393357,3.3810000000000002,http://www.sephora.com/smoothing-foundation-brush-P393357
104,104,Face Brushes,SEPHORA COLLECTION,Sparkle & Shine Classic Mini Multitasker Brush #45.5,$14.00,1837269,P412583,4.9,http://www.sephora.com/sparkle-shine-classic-mini-multitasker-brush-45-5-P412583
105,105,Face Brushes,stila,One Step Complexion Brush #33,$32.00,1277482,P269020,4.6703,http://www.sephora.com/one-step-complexion-brush-33-P269020
106,106,Face Brushes,MAKE UP FOR EVER,160 Blush Brush,$44.00,1536317,P382409,4.4118,http://www.sephora.com/160-blush-brush-P382409
107,107,Face Brushes,Bésame Cosmetics,Boudoir Long Hair Finishing Powder Brush,$50.00,1702729,P396822,4.72,http://www.sephora.com/boudoir-long-hair-finishing-powder-brush-P396822
108,108,Face Brushes,bareMinerals,Handy Buki Brush,$20.00,958785,P166111,4.3771,http://www.sephora.com/handy-buki-brush-P166111
109,109,Face Brushes,SEPHORA COLLECTION,Classic Sheer Complexion #11,$12.00,1674357,P395333,4.5333,http://www.sephora.com/classic-sheer-complexion-11-P395333
110,110,Face Brushes,Hourglass,Powder Brush No. 1,$65.00,1033968,P297710,4.75,http://www.sephora.com/powder-brush-no-1-P297710
111,111,Face Brushes,KEVYN AUCOIN,The Large Powder Brush,$75.00,1793603,P404816,5.0,http://www.sephora.com/the-large-powder-brush-P404816
112,112,Face Brushes,Urban Decay,Diffusing Highlighter Brush,$32.00,1847722,P410553,4.8,http://www.sephora.com/diffusing-highlighter-brush-P410553
113,113,Face Brushes,tarte,Double-ended Cheek & Lip Brush,$34.00,1851401,P409982,5.0,http://www.sephora.com/double-ended-cheek-lip-brush-P409982
114,114,Face Brushes,SEPHORA COLLECTION,PRO Airbrush Sweep #53,$38.00,1606102,P386623,4.7381,http://www.sephora.com/pro-full-coverage-airbrush-53-P386623
115,115,Face Brushes,BECCA,The One Perfecting Brush,$49.00,1539675,P382936,3.6458,http://www.sephora.com/the-one-perfecting-brush-P382936
116,116,Face Brushes,Urban Decay,Diffusing Blush Brush,$32.00,1847730,P410554,4.2,http://www.sephora.com/diffusing-blush-brush-P410554
117,117,Face Brushes,Bobbi Brown,Foundation Brush,$45.00,1289552,P270557,4.4554,http://www.sephora.com/foundation-brush-P270557
118,118,Face Brushes,Hourglass,Finishing Brush No. 7,$65.00,1034016,P193248,4.7703,http://www.sephora.com/finishing-brush-no-7-P193248
119,119,Face Brushes,bareMinerals,Complexion Perfector Foundation & Concealer Brush,$26.00,1710797,P396523,3.75,http://www.sephora.com/complexion-perfector-foundation-concealer-brush-P396523
120,240,Face Brushes,SEPHORA COLLECTION,PRO Mini Airbrush Sweep #53.5,$24.00,1675883,P395553,4.7288,http://www.sephora.com/pro-mini-full-coverage-airbrush-53-5-P395553
121,241,Face Brushes,Black Up,Flat Top Foundation Brush,$38.50,1751940,P400901,5.0,http://www.sephora.com/flat-top-foundation-brush-P400901
122,242,Face Brushes,tarte,Rainforest Of The Sea™ Color Correcting Brush,$24.00,1779008,P405098,4.4545,http://www.sephora.com/rainforest-the-sea-color-correcting-brush-P405098
123,243,Face Brushes,SEPHORA COLLECTION,PRO Liquid Foundation #63,$32.00,1743467,P404043,4.2553,http://www.sephora.com/pro-liquid-foundation-63-P404043
124,244,Face Brushes,Hourglass,Retractable Foundation Brush,$46.00,1140581,P231040,4.2985,http://www.sephora.com/retractable-foundation-brush-P231040
125,245,Face Brushes,surratt beauty,Artistique Highlight Brush,$115.00,1672971,P394814,5.0,http://www.sephora.com/artistique-highlight-brush-P394814
126,246,Face Brushes,NARS,Cream Blending Brush #12,$28.00,1613991,P386048,3.9091,http://www.sephora.com/cream-blending-brush-12-P386048
127,247,Face Brushes,SEPHORA COLLECTION,PRO Stippling Brush #44,$35.00,1419415,P313013,2.8498,http://www.sephora.com/pro-stippling-brush-44-P313013
128,248,Face Brushes,Hourglass,Foundation/Blush Brush No. 2,$58.00,1033976,P193244,4.4696,http://www.sephora.com/foundation-blush-brush-no-2-P193244
129,249,Face Brushes,KEVYN AUCOIN,The Blush Brush,$48.00,1793629,P404818,4.75,http://www.sephora.com/the-blush-brush-P404818
130,250,Face Brushes,blendSMART,blendSMART2 Powder Brush,$26.00,1926302,P407475,5.0,http://www.sephora.com/powder-brush-P407475
131,251,Face Brushes,MAKE UP FOR EVER,152 Medium Highlighter Brush,$37.00,1536275,P382388,4.5455,http://www.sephora.com/152-medium-highlighter-brush-P382388
132,252,Face Brushes,Urban Decay,Flat Optical Blurring Brush,$32.00,1847698,P410550,4.0,http://www.sephora.com/flat-optical-blurring-brush-P410550
133,253,Face Brushes,bareMinerals,Dual-Finish Blush & Contour Brush,$26.00,1710813,P396521,4.4286,http://www.sephora.com/dual-finish-blush-contour-brush-P396521
134,254,Face Brushes,SEPHORA COLLECTION,Classic Double Ended - Multitasker & Concealer #202,$30.00,1867621,P414674,5.0,http://www.sephora.com/multitasker-face-concealer-brush-202-P414674
135,255,Face Brushes,MAKE UP FOR EVER,106 Medium Foundation Brush,$36.00,1536101,P382433,4.8,http://www.sephora.com/106-medium-foundation-brush-P382433
136,256,Face Brushes,Bobbi Brown,Bronzer Brush,$58.00,1291285,P270576,3.5636,http://www.sephora.com/bronzer-brush-P270576
137,257,Face Brushes,SEPHORA COLLECTION,PRO Press Full Coverage Complexion Brush #66,$36.00,1768647,P404231,4.5368,http://www.sephora.com/pro-press-full-coverage-complexion-brush-66-P404231
138,258,Face Brushes,SEPHORA COLLECTION,PRO Precision Blush Brush #73,$32.00,1419464,P313018,4.1009,http://www.sephora.com/pro-precision-blush-brush-73-P313018
139,259,Face Brushes,bareMinerals,Buff & Go Retractable Face Brush,$22.00,1300532,P273404,4.0508,http://www.sephora.com/buff-go-retractable-face-brush-P273404
140,260,Face Brushes,SEPHORA COLLECTION,Color At Every Turn Retractable,$22.00,1535772,P382538,3.5,http://www.sephora.com/color-at-every-turn-retractable-P382538
141,261,Face Brushes,Urban Decay,Contour Definition Brush,$32.00,1847748,P410555,4.75,http://www.sephora.com/contour-definition-brush-P410555
142,262,Face Brushes,bareMinerals,Blooming Blush Brush,$24.00,1710805,P396522,3.6,http://www.sephora.com/blooming-blush-brush-P396522
143,263,Face Brushes,COVER FX,Concealer Brush,$20.00,1452622,P376531,4.5517,http://www.sephora.com/concealer-brush-P376531
144,264,Face Brushes,Bobbi Brown,Face Brush,$46.00,1352764,P296208,4.5333,http://www.sephora.com/face-brush-P296208
145,265,Face Brushes,MAKE UP FOR EVER,134 Large Powder Fan Brush,$48.00,1536200,P382373,4.6667,http://www.sephora.com/134-large-powder-fan-brush-P382373
146,266,Face Brushes,MAKE UP FOR EVER,144 Precision Highlighter & Concealer Brush,$37.00,1536234,P382424,4.7143,http://www.sephora.com/144-precision-highlighter-brush-P382424
147,267,Face Brushes,MAKE UP FOR EVER,156 Large Flat Blush Brush,$37.00,1536291,P382438,4.4667,http://www.sephora.com/156-large-flat-blush-brush-P382438
148,268,Face Brushes,Dior,Professional Finish Fluid Foundation Brush - Light Coverage,$46.00,1513894,P386818,4.8462,http://www.sephora.com/professional-finish-fluid-foundation-brush-light-coverage-P386818
149,269,Face Brushes,MAKE UP FOR EVER,142 Flat Highlighter Brush,$37.00,1536226,P382441,5.0,http://www.sephora.com/142-flat-highlighter-brush-P382441
150,270,Face Brushes,KEVYN AUCOIN,The Large Fan Brush,$60.00,1697200,P393960,3.75,http://www.sephora.com/the-large-fan-brush-P393960
151,271,Face Brushes,SEPHORA COLLECTION,Classic Bronzer Brush #44,$14.00,1504422,P379536,3.7059,http://www.sephora.com/classic-bronzer-brush-44-P379536
152,272,Face Brushes,MAKE UP FOR EVER,122 Blending Brush,$48.00,1536143,P382426,4.7391,http://www.sephora.com/122-blending-brush-P382426
153,273,Face Brushes,SEPHORA COLLECTION,Precious Elements PRO Mini Airbrush #55.5,$24.00,1719533,P400664,4.0,http://www.sephora.com/precious-elements-pro-mini-airbrush-55-P400664
154,274,Face Brushes,surratt beauty,Artistique Cheek Brush,$115.00,1672963,P394815,4.5714,http://www.sephora.com/artistique-cheek-brush-P394815
155,275,Face Brushes,SEPHORA COLLECTION,PRO Airbrush Blender #78,$36.00,1848407,P415309,5.0,http://www.sephora.com/pro-airbrush-blender-78-P415309
156,276,Face Brushes,Hourglass,Retractable Kabuki Brush,$56.00,1445634,P376091,3.85,http://www.sephora.com/retractable-kabuki-brush-P376091
157,277,Face Brushes,SEPHORA COLLECTION,Hide and Sleek Skinny Lip Retractable Brush,$5.00,1649672,P393109,1.75,http://www.sephora.com/hide-sleek-skinny-foundation-retractable-brush-P393109
158,278,Face Brushes,Laura Mercier,Camouflage Powder Brush,$28.00,870881,P109949,4.7241,http://www.sephora.com/camouflage-powder-brush-P109949
159,279,Face Brushes,blendSMART,blendSMART2 Blush Brush,$26.00,1926310,P407473,4.25,http://www.sephora.com/blush-brush-P407473
160,280,Face Brushes,SEPHORA COLLECTION,PRO Flawless Powder Brush #40,$19.00,1419365,P313008,3.4394,http://www.sephora.com/pro-flawless-powder-brush-40-P313008
161,281,Face Brushes,MAKE UP FOR EVER,128 Precision Powder Brush,$52.00,1536176,P382429,4.5,http://www.sephora.com/128-precision-powder-brush-P382429
162,282,Face Brushes,SEPHORA COLLECTION,PRO Blending Brush #27,$22.00,1419605,P313032,4.4609,http://www.sephora.com/pro-blending-brush-27-P313032
163,283,Face Brushes,SEPHORA COLLECTION,PRO Brow Contour #36,$11.00,1743434,P404617,4.0333,http://www.sephora.com/pro-brow-contour-36-P404617
164,284,Face Brushes,SEPHORA COLLECTION,PRO Mini Airbrush #55.5,$24.00,1696608,P398335,4.2188,http://www.sephora.com/pro-mini-airbrush-55-5-P398335
165,285,Face Brushes,MAKE UP FOR EVER,110 Foundation Kabuki Brush,$48.00,1509066,P378100,4.8462,http://www.sephora.com/110-foundation-kabuki-brush-P378100
166,286,Face Brushes,bareMinerals,Retractable Precision Foundation Brush,$22.00,1457324,P375372,3.8462,http://www.sephora.com/retractable-precision-foundation-brush-P375372
167,287,Face Brushes,COVER FX,Double Ended Contour Brush,$38.00,1676238,P393679,3.7812,http://www.sephora.com/double-ended-contour-brush-P393679
168,288,Face Brushes,SEPHORA COLLECTION,PRO Airbrush Perfector #51,$34.00,1802701,P409076,4.375,http://www.sephora.com/pro-airbrush-perfector-51-P409076
169,289,Face Brushes,SEPHORA COLLECTION,PRO Small Blush and Contour Brush #74,$32.00,1419456,P313017,4.2587,http://www.sephora.com/pro-contour-brush-74-P313017
